,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Power PtG,Battery SOC,Battery Power,H2 produced
0,32.158,194.42714242585015,0.0,0.0,0.0,192.70876183845627,40.0,-1.7183805873938702,3044.2711670840404
1,32.158,193.20915909580114,0.0,0.0,0.0,191.49077850840726,41.68401297564599,-1.7183805873938702,3025.3137736252547
2,32.158,227.5773646162387,0.0,0.0,0.0,225.85898402884482,43.36802595129198,-1.7183805873938702,3560.2403021329333
3,32.158,279.3456069106087,0.0,0.0,0.0,277.6272263232148,45.052038926937975,-1.7183805873938702,4365.991016146913
4,32.158,303.11466534081296,0.0,0.0,0.0,300.0,46.73605190258397,-3.1146653408129623,4714.213740458016
5,32.302,297.4681814393146,0.0,0.0,0.0,294.35351609850164,49.78842393658067,-3.1146653408129623,4626.3286156467475
6,33.697,299.86109561666166,0.0,0.0,0.0,296.7464302758487,52.840795970577375,-3.1146653408129623,4663.573308947474
7,35.92,309.2805792522489,0.0,0.0,0.0,300.0,55.89316800457408,-9.280579252248913,4714.213740458016
8,43.76,277.40936014735894,0.0,0.0,0.0,277.40936014735894,64.98813567177801,0.0,4362.600021610973
9,35.551,265.1493524012577,0.0,0.0,0.0,265.1493524012577,64.98813567177801,0.0,4171.778205813834
10,35.382,214.94952934567561,0.7846395390479054,0.0,0.0,215.73416888472352,64.98813567177801,0.0,3402.651852727099
11,34.745,224.6678035275374,2.13565720599296,0.0,0.0,226.80346073353036,64.98813567177801,0.0,3574.9406810803694
12,33.888,233.95772412317098,3.1166270711078647,0.0,0.0,237.07435119427885,64.98813567177801,0.0,3734.802730775795
13,33.888,284.5670589355268,6.815226392152043,0.0,0.0,291.38228532767886,64.98813567177801,0.0,4580.082670082721
14,34.174,295.1023118970819,10.003764405034437,0.0,0.0,300.0,64.98813567177801,-5.106076302116321,4714.213740458016
15,34.522,281.32773746030125,0.0,0.0,0.0,276.22166115818493,69.99209044785201,-5.106076302116321,4344.113991061222
16,43.722,218.24561111386797,0.0,0.0,0.0,213.13953481175164,74.996045223926,-5.106076302116321,3362.26747488761
17,43.722,215.42740219999465,0.0,0.0,0.0,221.02740219999464,80.0,5.599999999999999,3485.038782130072
18,40.282,258.2957665679686,0.0,0.0,0.0,263.8957665679686,74.28571428571429,5.6000000000000005,4152.2666745065335
19,40.282,239.06276181073216,0.0,0.0,0.0,244.66276181073215,68.57142857142858,5.600000000000001,3852.913120494465
20,35.367,191.48955460855274,0.0,0.0,0.0,197.08955460855273,62.857142857142875,5.600000000000003,3112.456346761975
21,34.496,174.24387109386137,0.0,0.0,0.0,179.84387109386137,57.14285714285715,5.600000000000003,2844.034604207797
22,33.794,148.96791928821722,0.0,0.0,0.0,154.5679192882172,51.428571428571445,5.600000000000005,2450.6251448142802
23,32.232,160.15028048037195,0.0,0.0,0.0,165.75028048037194,45.71428571428572,5.600000000000005,2624.6738494951574
24,32.158,153.12925773786137,0.0,0.0,0.0,156.61370218230581,40.0,3.4844444444444456,2482.4668870595783
25,32.158,163.10675583020208,0.0,0.0,0.0,166.59120027464652,36.44444444444444,3.484444444444446,2637.762409095314
26,32.158,183.28414342776267,0.0,0.0,0.0,186.76858787220712,32.888888888888886,3.4844444444444465,2951.814881095882
27,32.158,175.38160381526328,0.0,0.0,0.0,178.86604825970772,29.33333333333333,3.484444444444446,2828.815206911703
28,32.158,190.46383524220983,0.0,0.0,0.0,193.94827968665427,25.77777777777777,3.4844444444444465,3063.5637361757135
29,32.302,176.47816386864517,0.0,0.0,0.0,179.96260831308962,22.222222222222214,3.4844444444444456,2845.8826986172844
30,33.697,200.88366578215386,0.0,0.0,0.0,204.3681102265983,18.666666666666657,3.4844444444444456,3225.7439749739233
31,35.92,244.01824785206745,0.0,0.0,0.0,247.5026922965119,15.1111111111111,3.4844444444444465,3897.1154328630255
32,43.76,252.3044546736154,0.0,0.0,0.0,255.78889911805985,11.555555555555543,3.4844444444444465,4026.0867242768722
33,35.551,258.5755621830432,0.10831781597007109,0.0,0.0,258.68387999901324,7.999999999999986,0.0,4071.145872675633
34,35.382,261.9351444712915,8.50474435345607,0.0,0.0,270.4398888247476,7.999999999999986,0.0,4254.1231592411505
35,34.745,265.56143320391345,17.36564345467241,0.0,0.0,282.92707665858586,7.999999999999986,0.0,4448.480936658602
36,33.888,285.7541002756978,33.97580301190324,5.036025736580598,0.0,300.0,7.999999999999986,-14.693877551020412,4714.213740458016
37,33.888,277.7674594356389,40.456789333913505,3.5303712185319682,0.0,300.0,22.39999999999999,-14.693877551020412,4714.213740458016
38,34.174,295.5481912567828,36.356840190899874,17.21115389666221,0.0,300.0,36.8,-14.693877551020408,4714.213740458016
39,34.522,344.54201657615477,0.0,29.848139025134344,0.0,300.0,51.2,-14.693877551020407,4714.213740458016
40,43.722,339.1515566576628,0.0,24.457679106642388,0.0,300.0,65.6,-14.693877551020407,4714.213740458016
41,43.722,328.04040616892644,0.0,28.040406168926438,0.0,300.0,80.0,0.0,4714.213740458016
42,40.282,330.32053711830474,0.0,30.320537118304742,0.0,300.0,80.0,0.0,4714.213740458016
43,40.282,322.5142257513904,0.0,22.514225751390427,0.0,300.0,80.0,0.0,4714.213740458016
44,35.367,292.7693932158076,0.0,0.0,0.0,300.0,80.0,7.230606784192389,4714.213740458016
45,34.496,271.4745608245413,0.0,0.0,0.0,290.1712927490583,72.62182981204859,18.69673192451701,4561.234084702119
46,33.794,265.3096670561813,0.0,0.0,0.0,284.0063989806983,53.543531929888374,18.69673192451701,4465.28013039495
47,32.232,305.64772035946106,0.0,0.0,0.0,300.0,34.46523404772816,-5.647720359461061,4714.213740458016
48,33.169,308.37959736426404,0.0,5.464145469220284,0.0,300.0,40.0,-2.9154518950437343,4714.213740458016
49,33.169,322.6488133990034,0.0,19.733361503959657,0.0,300.0,42.857142857142854,-2.9154518950437343,4714.213740458016
50,33.169,316.9459481157382,0.0,14.030496220694431,0.0,300.0,45.714285714285715,-2.9154518950437325,4714.213740458016
