,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2012-01-01 00:00:00,1.948345584954135,5.799118944538201,7.457060100032397,9.588063577271871,11.646222798185804,258.99130375631944,261.9310001915138,264.9264139946867,268.8805978621198,271.34208283914376,279.561065075317,0.0,0.0,0.0,4.867785
2012-01-01 01:00:00,1.839188301883428,5.618261363252477,7.259392400986023,9.2601794558336,11.234454709231962,245.80774203424775,250.88033011646783,256.05615550432947,261.26040981113835,264.7332974878093,279.69025002176903,0.0,0.0,0.0,4.865785
2012-01-01 02:00:00,2.062290517038711,6.077825058965619,7.802096809611753,9.91052369483324,11.946723134568929,240.87434675879285,245.74405139925176,250.71426109009747,256.07237469182775,260.01884100855176,279.81175572942794,0.0,0.0,0.0,4.865785
2012-01-01 03:00:00,2.3790265024768984,6.595167803310811,8.375616218792253,10.669922760710932,12.854004626896687,246.55393251145796,250.30239777827137,254.12554051995124,258.8967153821385,262.1680454458532,280.0270750228681,0.0,0.0,0.0,4.865785
2012-01-01 04:00:00,2.431435651663651,6.573588196329814,8.31065868065671,10.593245050263649,12.729373742248118,249.3974431011853,252.328531830882,255.32301756870396,259.5464184995574,262.2435466888157,280.20779875805664,0.0,0.0,0.0,4.866785
2012-01-01 05:00:00,2.443300287139474,6.3211710108461245,7.928310408135726,10.227414885173305,12.35469285296753,240.4671960965281,243.34365750168917,246.2823699508237,250.20201039058247,253.1343773895501,280.3018752195467,0.0,0.0,0.0,4.867785
2012-01-01 06:00:00,2.814210597001414,7.031089401216497,8.765678006044432,11.308914150731908,13.541152109234062,237.25565583192983,239.68042727977704,242.1482440011018,245.59440210480813,248.679839896474,280.48761990917967,0.0,0.0,0.0,8.34322023428571
2012-01-01 07:00:00,2.803419948866882,7.2717070781492925,9.126847465201717,11.592948174844146,13.799350301233,239.1868924577797,241.40864629626785,243.67360500374804,247.16607243654056,249.962315543224,280.60505743705227,0.0,0.0,0.0,8.34522023428572
2012-01-01 08:00:00,2.5878667348522737,6.866630252739599,8.651390746199743,10.83289639957736,12.982873749004604,235.6398370794433,238.05927179870585,240.52376784754293,243.53954446883185,246.01874757195824,280.76556603324366,2.7328157230662047,0.0,2.7328157230662047,8.34722023428572
2012-01-01 09:00:00,2.9073942346601886,7.477228479226706,9.37116123126721,11.649708141075727,13.9386725818516,236.8667975244519,238.7233782498273,240.61898323812304,242.3844514895492,244.35639541999032,281.2686445969238,8.798424159294743,0.0,8.798424159294743,10.8891028436364
2012-01-01 10:00:00,2.416057167873176,6.569604896600713,8.315659894194944,10.526882572002023,12.632677835378743,240.21764314087983,242.6426787091048,245.11541811737297,248.50320603215124,251.31491194957997,281.85961911354906,20.170000370173845,0.0,20.170000370173845,46.8293742837624
2012-01-01 11:00:00,2.612851970369848,6.753844725141903,8.47141699517501,10.592557669575152,12.643302064261611,240.73212559600867,243.22835941335097,245.776507305546,249.24256823492829,251.98361765416325,282.5571400823802,31.0348350321006,0.0,31.0348350321006,65.7260013609442
2012-01-01 12:00:00,2.885903305834149,7.031639866805247,8.726584770263473,10.80326163050124,12.846348596869802,237.58199056470585,239.1449704725646,240.74231544717804,243.0798177749317,245.1778690605228,283.07325364401925,38.32302926765422,0.0,38.32302926765422,64.0488917243921
2012-01-01 13:00:00,2.93960531217243,6.951268989318509,8.583324725732885,10.564667029233268,12.553927470140016,237.0775476514428,238.63436712927884,240.22229432945653,241.97274764063656,243.976130210617,283.3758369912515,39.28679566882491,0.0,39.28679566882491,66.3155820351282
2012-01-01 14:00:00,2.6243801419877784,6.441734926155672,8.006818986068557,9.88571242060956,11.72285372132264,229.4333870868774,231.81801768243645,234.25334916723148,236.63555946677883,238.9606370466502,283.67127357106176,40.29047051460613,0.0,40.29047051460613,66.3155820351282
2012-01-01 15:00:00,2.4642900916662875,6.251069833952036,7.815465808057352,9.699748399826898,11.545780772074696,224.84445376234405,226.99593410273897,229.1944683191344,231.32117872138025,233.3645251950993,283.49465874668687,10.30437737016658,0.0,10.30437737016658,70.1115323954726
2012-01-01 16:00:00,2.5555548084259736,6.584986052886216,8.25427762430648,10.288276906364391,12.267818624673833,229.00527763193756,230.88940339161604,232.8079808269581,234.81308538775048,236.6984203862547,283.2610252824707,0.699999988079071,0.0,0.699999988079071,91.8058594982763
2012-01-01 17:00:00,2.688165846172192,6.943069371459496,8.707633668674154,10.873952622435764,12.987333220607969,230.8990706580633,233.10202256203897,235.3555993409014,237.91867310504887,239.92465349628228,283.2226201590404,0.0,0.0,0.0,91.8078594982763
2012-01-01 18:00:00,2.5794122854007915,6.977564834554202,8.82015025685436,10.98239977189902,13.076659824567924,224.69999379870256,227.62388385705867,230.60815551416005,233.69890298681457,236.08649703927708,282.9611857190515,0.0,0.0,0.0,70.1105323954726
2012-01-01 19:00:00,2.6168155217829434,7.093722862643032,8.973657363207765,11.149354550325564,13.226006398274173,215.9729751883577,219.0972452865905,222.29177162873916,225.6843509241405,228.53446791868623,282.89468913500974,0.0,0.0,0.0,63.8095991643388
2012-01-01 20:00:00,2.7311341414416965,7.377292688508538,9.326027893663134,11.542322163960826,13.68509503198994,214.0913649207591,216.6906319525701,219.3477759032063,222.47194125796213,225.1297246985936,282.7575779104815,0.0,0.0,0.0,55.8284408972403
2012-01-01 21:00:00,2.73320785001926,7.483697629756563,9.48378633627772,11.71358542395328,13.905727355329011,215.73241186834068,218.44625798353496,221.21533136849413,224.123843684312,226.52137242145955,282.42796007767726,0.0,0.0,0.0,34.5150632304521
2012-01-01 22:00:00,2.712267901076318,7.514436537128734,9.540288277207182,11.825133878259503,14.048309628491086,220.19819169890872,222.2217633675376,224.28483974756733,227.76348696391472,230.4239862819725,282.3815548179353,0.0,0.0,0.0,8.35022023428572
2012-01-01 23:00:00,2.673411484230649,7.485736638271861,9.521024531353238,11.740468828505636,13.97668886984336,223.0571781646261,225.56489441815424,228.1207181054454,231.585545370625,234.2767528122251,282.76865559006416,0.0,0.0,0.0,8.34422023428572
2012-01-02 00:00:00,2.4014433580991046,7.178604900378764,9.238591059741127,11.385214941409693,13.593066596710964,216.44616381613488,220.19764221386552,224.0323905040267,228.1766650706153,231.43136067743845,282.6274527559237,0.0,0.0,0.0,4.868785
2012-01-02 01:00:00,2.4087969438860246,7.42362471722444,9.605832561245569,11.8738936997702,14.193288711390512,209.36225779411944,213.52338308726905,217.76820434532883,222.28585406308108,226.004475692044,282.1687797575041,0.0,0.0,0.0,4.867785
2012-01-02 02:00:00,2.5480785457426847,7.704264879467107,9.93727831989972,12.327587515651526,14.764393251765911,207.8124554919106,211.79809461583983,215.8665029606058,220.37532555619555,224.2461609351104,281.7809599020996,0.0,0.0,0.0,4.867785
2012-01-02 03:00:00,2.5703074222829576,7.774594154265851,10.02645583943347,12.367945374129116,14.808356342272551,206.9694042746041,210.8494954231214,214.81408472112636,219.57391793776665,223.4059046682991,281.8470113800864,0.0,0.0,0.0,4.867785
2012-01-02 04:00:00,2.79006830966372,8.033902545071854,10.272437657960122,12.603044620123583,15.080200029171918,208.1626151106281,211.19767626864228,214.29374061120285,218.3469212261325,221.48089745877616,281.67200759450606,0.0,0.0,0.0,4.867785
2012-01-02 05:00:00,2.858392784022394,8.098783005113818,10.325603597674936,12.585274164758127,15.069819214539727,210.81364508437665,213.53853786289585,216.32052308895072,219.89258551093263,222.5349037046415,281.65902564271744,0.0,0.0,0.0,4.867785
2012-01-02 06:00:00,2.892275030825529,8.062671610334037,10.249521475858735,12.417627776408084,14.82393533664359,212.43207872999503,215.1998569776628,218.02093302713251,221.5037414343996,224.07320335999864,281.72924940969165,0.0,0.0,0.0,8.34322023428571
2012-01-02 07:00:00,2.8310975823999325,7.8632895449711695,9.991554187777083,12.06792281296449,14.435559858338747,212.87975162281057,215.7516441219138,218.68535743486103,222.29217478339635,224.88227256057465,281.89882666833535,0.0,0.0,0.0,46.1482397915391
2012-01-02 08:00:00,2.7874912778593983,7.668879686365446,9.724478417994622,11.78640293895081,14.08836033109128,211.86035999094187,214.99207835013377,218.1842418178237,221.92482203500796,224.7024146755237,282.0083090517815,4.263734274996767,0.0,4.263734274996767,67.3851960652373
2012-01-02 09:00:00,2.6924932004634274,7.393313407144502,9.373334080605446,11.340809342183134,13.594907733221412,208.1921031867737,211.656670827762,215.19014341201137,219.2194829184045,222.40084579599457,282.069278697225,23.771891554648978,0.0,23.771891554648978,67.3851960652373
2012-01-02 10:00:00,2.9859686905971383,7.539910354042997,9.417945493019936,11.33059205754229,13.483805708799386,217.6880105829053,219.77990032848635,221.90694588830075,224.60850713191425,226.9409138880862,282.51288825477803,38.62650888532296,0.0,38.62650888532296,67.3851960652373
2012-01-02 11:00:00,2.895577629441328,7.464252177779831,9.357292204348234,11.12452598579607,13.14112784537392,224.19067474757276,226.4228098538136,228.70301804898955,231.28230519780263,233.31633107517595,282.65807791520206,45.37258484787925,0.0,45.37258484787925,67.3851960652373
2012-01-02 12:00:00,3.0789514754682665,7.924187727517382,9.931422350234367,11.64846817406701,13.748106901492417,232.36462170442024,233.7903642194873,235.24294945745933,236.9951206083039,238.43459534419767,282.9578151449789,61.94762892579933,0.0,61.94762892579933,67.3851960652373
2012-01-02 13:00:00,3.705054047040137,9.089103081348023,11.293938691779625,13.23941685364632,15.436690866154589,246.905869917384,247.70249480122055,248.50699896287784,249.96126603894092,250.8024560965686,282.5976655288323,39.85003841475924,0.0,39.85003841475924,65.7954124657533
2012-01-02 14:00:00,3.6191289736076215,8.886710890458593,11.044979731535332,12.851764222208356,14.853181370687734,252.9638792388518,254.1458722216699,255.35880022450328,256.55187132120545,257.50732849861294,281.4410099653489,25.44617429038367,0.0,25.44617429038367,65.7954124657533
2012-01-02 15:00:00,3.4562487739076264,8.413387367193804,10.441814812375537,12.259586654455235,14.128145541942834,258.8260959083689,259.8646264385293,260.9291493640592,262.3620156053481,263.69663943224936,280.8500454883218,12.530964070674464,0.0,12.530964070674464,67.3851960652373
2012-01-02 16:00:00,3.0450047741235986,7.63063572264156,9.519055046948194,11.224365605318342,13.034090974729628,266.6254784092065,267.7363916821213,268.8673856756018,270.6835704275072,271.9630626191274,280.5136148044839,1.200000047683716,0.0,1.200000047683716,67.3851960652373
2012-01-02 17:00:00,2.825807065028137,7.13302597456368,8.909195451811536,10.610184015380373,12.346271351705452,269.0180910225035,270.0841201720668,271.17038340221995,272.8192499803898,273.92378908440435,280.25763933176336,0.0,0.0,0.0,76.9175503561037
2012-01-02 18:00:00,2.7790289133411505,7.009179628231002,8.753855774562476,10.421230280015982,12.222879812123011,267.4842668331651,268.6391620230394,269.8207960857554,271.03108442124375,272.0348538788245,279.8389344094001,0.0,0.0,0.0,67.3851960652373
2012-01-02 19:00:00,2.750313277003792,6.95451542606892,8.689050825268314,10.40072126590534,12.227808960557343,265.06078719552977,266.3867964790234,267.7293352582199,269.0552161029689,270.1730871566126,279.4138098112793,0.0,0.0,0.0,66.2524319064528
2012-01-02 20:00:00,2.630524160272912,6.760331731554722,8.470716454365094,10.150938238616034,11.89655606216411,262.9387454116474,264.56780988545887,266.2336111060977,267.58785997660533,268.8815682323116,279.1383063859221,0.0,0.0,0.0,40.2885700723068
2012-01-02 21:00:00,2.674423724538189,6.754208574685715,8.436379761321067,10.165737054474205,11.930935326302698,263.07956230515555,264.5730511887007,266.0980188818882,267.78778586691425,269.2539262565138,278.79652344537675,0.0,0.0,0.0,9.26827994
2012-01-02 22:00:00,2.3467070956260634,6.5344505798286345,8.304032789223434,10.241636624192996,12.170914496689884,256.3865947972069,258.4747849538221,260.60647068958247,262.455798818629,264.1346540275168,278.50102049609376,0.0,0.0,0.0,8.34422023428572
2012-01-02 23:00:00,2.210964530483142,6.409665025557172,8.204928113888984,10.106377833858668,12.081509720260676,254.53895456794663,257.2943185942761,260.1047221366345,262.4432112570214,263.9607026339648,278.0582853383789,0.0,0.0,0.0,3.51409
2012-01-03 00:00:00,2.564513944885631,6.964721006604443,8.810729872507174,10.647446213310436,12.735165339041242,261.19078350578616,262.290489636709,263.4127973590425,265.2532722317384,266.2980000849053,277.7088127094321,0.0,0.0,0.0,3.51309
2012-01-03 01:00:00,2.458324079133705,6.6191350261941,8.361502404795083,10.11708814227475,12.194005085772767,261.71757818482183,263.5854258374802,265.4937981154127,267.6894849936295,268.781619085101,277.5090271491936,0.0,0.0,0.0,3.51309
2012-01-03 02:00:00,2.459579152757752,6.393195994063154,8.024640848685825,9.544852014128656,11.585361384596563,257.803337012853,259.38524321280306,261.0018349289687,263.2986593135188,264.3293803293548,277.3310559886302,0.0,0.0,0.0,3.51309
2012-01-03 03:00:00,2.545452863529454,6.092999186311535,7.539701438527246,8.915316512297352,10.849200138093767,256.77512257000456,258.0083591696616,259.2702898005138,260.8267917535516,261.7282105439616,277.1914421520996,0.0,0.0,0.0,3.51309
2012-01-03 04:00:00,2.3150161188711325,5.798873766427653,7.231802410814247,8.52192375482111,10.419829847382031,251.97439159945552,253.77637313042007,255.6207516568772,257.41200135036416,258.4170145481902,276.7295194739581,0.0,0.0,0.0,3.51309
2012-01-03 05:00:00,2.370087351232854,6.043992222779489,7.56373174037124,8.687024909783153,10.59039168130663,242.42878535731745,244.59287968105264,246.8022630606673,248.66683023612148,249.77221164522612,276.5250647625323,0.0,0.0,0.0,3.51409
2012-01-03 06:00:00,2.6284518534104944,6.23604499296958,7.702601703548728,8.809869409119273,10.61718617581258,235.7607837207061,237.6674564016008,239.61453994542163,241.19105608044464,242.21105025831048,276.5177009612222,0.0,0.0,0.0,3.51409
2012-01-03 07:00:00,2.7205164140033515,6.556930388017121,8.122516865991189,9.39234834320208,11.335560950933663,228.69292819263717,230.2345009246633,231.80760148759776,233.3853134107161,234.2775213887537,276.18473352254205,0.0,0.0,0.0,8.34422023428572
2012-01-03 08:00:00,2.8322268216245816,6.936576573348287,8.617644470983356,10.12599868057164,12.260692006944057,219.7759525781468,221.76635711844267,223.80475072216632,225.84340000026347,226.8228140202804,276.19084578108703,9.402288983040558,0.0,9.402288983040558,8.34522023428572
2012-01-03 09:00:00,2.7419387884208644,6.951171586065371,8.685883512731978,10.800940461177449,13.23944503139899,210.1982838393313,212.21063899223643,214.269668059971,217.1506769392689,218.1983807278573,276.98519891992186,69.6785458989743,1.559124979934412,69.37328292340732,8.34422023428572
2012-01-03 10:00:00,4.062002726910158,8.383648190218219,10.106093577318772,11.34544016743198,13.422595689310956,216.43919839401445,217.04874431625933,217.6647978926649,218.35089772874497,218.9592146775148,277.8837681126131,132.82492403456484,90.1157296495189,108.58963384715862,8.34422023428572
2012-01-03 11:00:00,3.9487165101503,8.002657929110862,9.61413581013548,10.848860910461063,12.746432252787717,214.18484664362708,214.94175371785937,215.71394013402195,216.3163225925848,217.1631884921322,278.83787145749585,244.84571897209807,530.7778497907568,83.64600204535867,8.34522023428572
2012-01-03 12:00:00,4.014364366164667,8.186322918161299,9.845178350253974,11.150897488527054,13.10849398397685,212.9749949471229,214.11307582046905,215.27759760436845,216.04935185598492,217.47298397267545,279.56464419402755,264.2874464337467,695.0583397103829,57.34609104500251,8.34422023428572
2012-01-03 13:00:00,3.877411548632268,8.169426957589273,9.882531729476902,11.643704380913013,13.8810822539328,209.1655566449327,210.6131210593832,212.0839765083433,213.52145015814915,215.9198562267288,280.13656722045897,230.9997277964381,746.9034620566158,43.20884154158665,8.34422023428572
2012-01-03 14:00:00,4.121477175611893,9.566230056114234,11.772494456352993,14.195258193182514,16.695242372985824,209.37492584096427,211.13109769000812,212.921882779162,215.13676637116015,217.30066372669248,280.26169247261566,147.27864236276068,678.3304718327386,33.359471397925944,8.34522023428572
2012-01-03 15:00:00,4.192751920551073,10.150199415117966,12.583428042607688,15.210637871765206,17.903303987760783,213.67481641414372,215.29639403441743,216.94977291944488,218.73600986766905,220.505571834458,280.2205821694099,53.36180808931429,506.086868814389,26.557462417892847,8.34522023428572
2012-01-03 16:00:00,4.289164645686709,10.48333258852148,13.01860150584754,15.750458453650698,18.549894919389388,219.9710834930948,221.6458612602652,223.35051672087585,225.12751358423472,226.69594935775257,280.07914170654294,3.2956865804237503,0.0,3.2956865804237503,13.7972676509506
