,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2012-01-01 00:00:00,3.956912232791781,8.700972099440092,10.385392222692698,11.530603207065951,12.947859577576072,217.4998768066406,221.1578887084961,224.8938095703125,229.9832942626953,233.16908189697264,281.4550329345703,0.0165062396902697,0.0,0.0165062396902697,4.867785
2012-01-01 01:00:00,4.513181413694272,9.665182246125996,11.483059259228316,12.814544286126084,14.361541353419858,219.81490933593756,222.64627319335935,225.53540137939453,229.5175907714844,231.9672872070313,281.6535877685547,0.0082531198451348,0.0,0.0082531198451348,4.867785
2012-01-01 02:00:00,4.893650334093703,10.309347091253326,12.212886782457398,13.6769556012371,15.30447780132751,222.87459959228525,225.36048206787112,227.8973350708008,231.5454577758789,233.6904358276367,281.8041384033203,0.0,0.0,0.0,4.867785
2012-01-01 03:00:00,5.11238064512094,10.806425101543722,12.80938492051262,14.31814991915112,16.08063843191585,223.01483526611327,225.1590591064453,227.34304031982424,230.67939849853516,232.49355946044923,281.9037201660156,0.0,0.0,0.0,4.867785
2012-01-01 04:00:00,5.49605338156244,11.412179745105224,13.482413241208398,15.093855300006506,16.902151037440515,225.32529995117176,227.066709753418,228.84201640625,231.8438486938477,233.40416485595705,282.01962338867185,0.0,0.0,0.0,4.867785
2012-01-01 05:00:00,5.379763423619781,11.231245809010929,13.282412668790332,14.84950794670274,16.65277730948591,227.12757373046884,228.88577875976569,230.6760654907227,233.79548381347655,235.41789665527347,282.1441930175781,0.0,0.0,0.0,4.867785
2012-01-01 06:00:00,5.403582146245448,11.24851575998276,13.296669931520151,14.82778067803199,16.60659019797314,231.11687066406256,232.9468713623047,234.81310192871095,237.84329451904296,239.47687109375,282.2440671875,0.0,0.0,0.0,8.34322023428571
2012-01-01 07:00:00,5.540624085511226,11.507953108954457,13.59730567165745,15.114998555693434,16.87268000081915,236.7873044384766,238.54275902099613,240.33332902832035,243.18536087646484,244.75731298828129,282.33135104980465,0.0,0.0,0.0,8.34522023428572
2012-01-01 08:00:00,5.439982220695043,11.381005030013217,13.467090195043276,14.929566515716049,16.59704833516443,239.57114959716807,241.4296008056641,243.3262230834961,246.09813048095705,247.69893687744144,282.4023351318359,0.0,0.0,0.0,8.34722023428572
2012-01-01 09:00:00,5.257950657829281,11.012628091998382,13.033328918151607,14.392186080582292,15.963143291202442,236.48550630859376,238.3584651855469,240.27351749267575,243.10129787597657,244.75852751464845,282.5313009277344,10.56048801580286,0.0,10.56048801580286,10.8891028436364
2012-01-01 10:00:00,5.012769512982238,10.501132277438607,12.427601593200656,13.706984126974955,15.133378453965468,236.56221577880856,238.41018599853516,240.2931893310547,243.08894447021484,244.8723115234375,282.8706325927734,52.14314400367464,0.0,52.14314400367464,46.8303742837624
2012-01-01 11:00:00,4.963660063659694,10.188453189268026,12.014059644319524,13.272179885652577,14.649654731002672,230.80014447265623,232.56879606933597,234.37377888183596,237.20980766601565,238.97033184814453,283.00357424316405,75.03516742409215,0.0,75.03516742409215,65.7270013609442
2012-01-01 12:00:00,5.023285885104366,10.183742810679444,11.982230919251348,13.221726034487782,14.59047800955268,226.85072256103516,228.41517384033205,230.01049833984376,232.56683767089845,234.09768212890623,283.03461423339843,63.085271620508784,0.0,63.085271620508784,64.0488917243921
2012-01-01 13:00:00,4.95037360943418,10.008926826674305,11.772195598832065,12.955660265641766,14.33626816475439,223.47080101074224,225.10576616210935,226.77209110107415,229.3534297973633,230.8485399291993,283.06321955566403,48.763574942624295,0.0,48.763574942624295,66.3155820351282
2012-01-01 14:00:00,4.969755299099634,10.31714201283423,12.191008046905283,13.345637254996468,14.76954413722598,222.64925066650392,224.35009040527345,226.0836438598633,228.15935201416016,229.49093233642577,283.08217995605463,42.14673355801087,0.0,42.14673355801087,66.3155820351282
