,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2012-11-02 16:00:00,8.20826784341912,11.093052924081729,11.86274564778493,12.342810437932863,12.56287436006614,192.23242057674875,192.7398653356028,193.25203136691505,194.40893874802316,194.79773616799,281.93108724659805,1.399999976158142,0.0,1.399999976158142,37.033
2012-11-02 17:00:00,8.856005480256812,12.007591262538986,12.847744759659635,13.34696320098788,13.616306803908138,187.1518123654893,187.62225091636816,188.0992869602929,188.9534276772208,189.43706341818236,281.8930661875159,0.0,0.0,0.0,43.961
2012-11-02 18:00:00,9.21606388883572,12.541364336399386,13.428606261326362,13.956861099947284,14.175494192054291,187.0686809607293,187.456730930628,187.8502381698576,188.523920691779,188.950356281276,281.6715544102794,0.0,0.0,0.0,42.204
2012-11-02 19:00:00,8.729280955315499,11.800852961523775,12.620713934597852,13.148911850182138,13.31197620699558,187.5082343048496,187.87780142231463,188.25666919169717,189.1248793147528,189.4636408183609,281.4600338524589,0.0,0.0,0.0,36.658
2012-11-02 20:00:00,7.696242132762888,10.058755543662082,10.6937176950307,11.09882458125052,11.193240729923572,188.6937293862264,189.04296452519367,189.402378997734,190.62428423942188,191.0438022157984,281.3540014523936,0.0,0.0,0.0,36.203
2012-11-02 21:00:00,6.809749190618281,8.626954167888504,9.122561804452626,9.440690936174992,9.536456495157744,187.86311424340204,188.2195542287536,188.5851580817332,190.0575441417241,190.76385833904223,281.20313618240255,0.0,0.0,0.0,35.133
2012-11-02 22:00:00,5.740231659646439,7.9048215532584125,8.480629398600675,9.248472868223388,9.2032203424381,188.162217795844,188.58663738399397,189.0201145065232,189.7215470442169,191.0139313475716,281.27365415911504,0.0,0.0,0.0,33.92
2012-11-02 23:00:00,6.799583920587052,8.773215777610751,9.306187758451149,9.611145779287355,9.732227413013728,196.0916718953275,196.64699053897863,197.21774393456167,197.80765662029532,198.7804806410963,281.4271201138947,0.0,0.0,0.0,34.093
2012-11-03 00:00:00,6.652572975365487,8.6046687891806,9.129319459356132,9.473520727124836,9.594498201438917,199.64703113331083,200.2701128134965,200.906411567598,201.46246193646508,202.58622423591405,281.4184179631638,0.0,0.0,0.0,35.577
2012-11-03 01:00:00,6.856139826555172,8.912129331150615,9.464494987694394,9.979637575191267,10.020638532658968,190.7306659044595,191.37093930802536,192.0240018190192,192.9857712477204,193.8347230475524,281.3275735212961,0.0,0.0,0.0,35.577
2012-11-03 02:00:00,7.766055286386047,10.11492679329503,10.747985095320042,11.1719304535739,11.289568273621718,182.24286397510244,182.77707585513133,183.3192959032313,184.8082770028726,185.604031466022,281.2792538599864,0.0,0.0,0.0,35.577
2012-11-03 03:00:00,8.074001958291255,10.712489080217408,11.419670139924063,11.907990968944944,12.117130857533391,177.3146421805371,177.57467749239095,177.8441633521812,178.4472854366571,179.8593162651073,281.1674158808062,0.0,0.0,0.0,35.577
2012-11-03 04:00:00,8.132795185222745,10.850194398322042,11.577310266687148,12.13906046245944,12.38094332418516,177.8171252909445,178.0717534017053,178.33308661081207,178.95039490615605,180.08924232553892,281.163026202868,0.0,0.0,0.0,35.577
2012-11-03 05:00:00,8.21338478409002,10.829838980313529,11.530108058710072,12.034921006231478,12.236210877878948,176.6777006844121,176.87970329472458,177.0849593275858,178.06989510401922,178.89763099788297,280.98327012816094,0.0,0.0,0.0,35.577
