,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
1/1/2012 0:00,3.288439525,8.417390221,10.21381931,11.60026625,13.41039671,163.2749487,166.8878977,170.5735363,179.0672286,181.6892832,276.7673248,0.035120875,0,0.035120875,32.158
1/1/2012 1:00,3.274594511,8.39890021,10.19320544,11.77695488,13.50500038,166.3350179,170.3653116,174.4806645,181.7799346,184.472472,277.3744227,0.017560438,0,0.017560438,32.158
1/1/2012 2:00,3.562195393,8.909058969,10.76549125,12.51296734,14.0979989,168.6746613,172.2646436,175.9297168,181.4956207,184.134709,278.0158794,0,0,0,32.158
1/1/2012 3:00,3.994769559,9.681503389,11.6344683,13.79152766,15.30216392,176.7051441,179.3923662,182.1395766,185.4649149,187.9600712,278.6558875,0,0,0,32.158
1/1/2012 4:00,4.280727273,10.09491104,12.07163158,14.3587649,15.67682558,188.3957933,190.4830278,192.6082726,195.2514133,197.96617,279.2908185,0,0,0,32.158
1/1/2012 5:00,4.105111448,9.976344444,11.99482063,14.31520843,15.51247643,203.1703136,205.3214714,207.5157869,210.5102488,213.4960375,279.7674812,0,0,0,32.302
1/1/2012 6:00,4.020343902,9.997164986,12.06656652,14.50427783,15.71405549,219.7833349,221.6865213,223.6254124,226.4895217,229.3875021,280.0472697,0,0,0,33.697
1/1/2012 7:00,4.030108051,10.16358258,12.29833054,14.68533545,15.98512982,234.4285869,236.3889024,238.3847215,241.1562183,243.5131853,280.4168755,0,0,0,35.92
1/1/2012 8:00,3.876831988,9.630960686,11.62136317,13.78530703,14.96809913,238.928469,240.8331129,242.7789852,245.6283565,247.8099972,280.8672582,0,0,0,43.76
1/1/2012 9:00,3.776502071,9.44476619,11.41197981,13.52530447,14.72215468,237.9929194,239.6666812,241.3793158,243.8891596,245.714567,281.0325338,7.215659473,0,7.215659473,35.551
1/1/2012 10:00,3.559353747,8.745099484,10.53424181,12.40573531,13.5392846,236.638281,238.1911566,239.7708625,242.4212156,244.1049381,281.3177409,29.74101723,0,29.74101723,35.382
1/1/2012 11:00,3.642291955,8.886966994,10.69126528,12.47705471,13.66947206,233.1502624,234.8761027,236.6349024,239.2254941,240.8132239,281.1667173,53.14887087,0,53.14887087,34.745
1/1/2012 12:00,3.754941815,9.028477753,10.83353443,12.62036435,13.82496078,229.3545036,230.8954477,232.4697214,234.482499,236.0589479,281.1252677,65.22899135,4.594563991,64.39384552,33.888
1/1/2012 13:00,4.104881199,9.781529037,11.71825529,13.57533286,14.91469644,229.5018164,231.0317406,232.5964124,234.3211898,235.7251105,281.301317,63.1754299,63.92638088,53.79906361,33.888
1/1/2012 14:00,4.14460454,9.948615636,11.93346282,13.76024854,15.08891299,229.7711012,231.3054053,232.8747216,234.6220436,235.9797313,281.165081,39.62974951,142.7086991,28.29187495,34.174
1/1/2012 15:00,3.860070735,9.685977389,11.71096194,13.55180345,14.94558423,227.8728956,229.7555653,231.6788952,233.6731413,235.0666153,280.9777548,13.0832132,0,13.0832132,34.522
1/1/2012 16:00,3.339793185,8.744752772,10.65250412,12.45498467,13.69385659,216.7802199,219.3235187,221.9188366,224.5590076,226.5010832,280.7644496,0,0,0,43.722
1/1/2012 17:00,3.267689434,8.693615572,10.62050621,12.50394292,13.66460002,210.0070008,212.3607839,214.756965,217.395337,219.459989,280.6832934,0,0,0,43.722
1/1/2012 18:00,3.682354046,9.334339576,11.30785457,13.27094249,14.4728523,206.6945131,208.7357869,210.8194842,213.091761,215.0477024,280.6083923,0,0,0,40.282
1/1/2012 19:00,3.709260046,9.085663791,10.93910576,12.93755809,13.97476473,205.544813,207.4067446,209.3053017,211.6014384,214.0300029,281.0096163,0,0,0,40.282
1/1/2012 20:00,3.376170749,8.39539892,10.13379681,12.12658039,12.98464137,202.9159347,204.9492337,207.0257874,209.3204472,212.0683275,281.0193958,0,0,0,35.367
1/1/2012 21:00,3.209834659,8.123224404,9.835316845,11.76595283,12.46152434,198.7477376,200.7462149,202.7891017,204.9901249,207.8610784,280.9588875,0,0,0,34.496
1/1/2012 22:00,2.980227271,7.701646185,9.359779881,11.25693306,11.98927585,194.0905989,196.2489933,198.4557473,200.3693288,203.7616852,280.7979309,0,0,0,33.794
1/1/2012 23:00,3.06643476,7.886608717,9.579321596,11.44535417,12.25288834,199.5305788,201.1622035,202.8321424,204.4077801,207.3520507,280.6994174,0,0,0,32.232
1/2/2012 0:00,3.073403103,7.785077147,9.429837289,11.23958855,12.04283248,209.3831602,210.9091641,212.4600795,214.1871676,217.1352819,280.4434123,0,0,0,32.158
1/2/2012 1:00,3.178193574,7.953613849,9.609721507,11.41811747,12.2502104,222.3323877,223.5335568,224.7623355,226.0141622,228.5274104,280.4690702,0,0,0,32.158
1/2/2012 2:00,3.344757647,8.278418853,9.984751413,11.81647808,12.61025154,239.4544453,240.7001311,241.9716861,243.2756643,245.2576184,280.7018037,0,0,0,32.158
1/2/2012 3:00,3.328159976,8.162708096,9.82873037,11.51682973,12.18812994,251.2783393,252.6751263,254.1043992,256.0353303,257.9302604,280.5627007,0,0,0,32.158
1/2/2012 4:00,3.442831576,8.394296703,10.09712128,11.76016981,12.44452217,253.7018538,255.0011088,256.3274723,257.8569496,259.5080067,280.4037069,0,0,0,32.158
1/2/2012 5:00,3.185048081,8.151132683,9.888792553,11.5994066,12.29211048,251.2936616,252.9173984,254.5720344,255.8217232,257.2348566,279.9067524,0,0,0,32.302
1/2/2012 6:00,3.241652649,8.495209346,10.35028166,12.20321238,12.87318069,245.4578666,247.0845937,248.7416907,249.898641,251.2595075,279.51927,0,0,0,33.697
1/2/2012 7:00,3.608975292,9.129512006,11.05727016,13.01104278,13.69692752,244.7037064,245.8846605,247.092714,247.9449747,249.0271358,279.3797657,0,0,0,35.92
1/2/2012 8:00,3.644428752,9.247556514,11.20376485,13.18230827,14.00545997,245.5517151,246.6827005,247.8324951,248.7663471,249.8269154,279.0925439,0,0,0,43.76
1/2/2012 9:00,3.70616768,9.343021695,11.30650747,13.27766326,14.15336116,246.6150043,247.7655649,248.938928,249.8795411,250.8950834,279.0871616,17.74995744,0,17.74995744,35.551
1/2/2012 10:00,3.861232797,9.418512189,11.32902685,13.3285509,14.34516406,247.9112128,249.0870904,250.2849272,251.3149557,252.4331893,279.1940902,73.94382863,128.2607162,54.78862533,35.382
