,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
1990-01-01 00:00:00,1.2094320115077029,2.8576720681307393,3.28632012369377,3.663103406908017,3.8403177647060507,113.39456691844636,113.42714572847424,113.46495027209043,112.62947024795379,112.33012017653935,293.03124718886966,0.006988533161101644,0.0,0.006988533161101644,32.103
1990-01-01 01:00:00,1.060047762634044,2.767482648953145,3.239198388551363,3.6494693291576183,3.8933086574145355,113.49990769199967,114.0778261355745,114.66481486000204,114.9702235623269,114.96448460431995,293.36957040876337,6.731800136033738,0.0,6.731800136033738,81.4465
1990-01-01 02:00:00,1.0466010787164215,2.701301414391646,3.154716158575409,3.442981875784096,3.7367571456315,114.54548790907808,115.41513766494583,116.30184974458645,116.65108688915976,116.82873151695466,294.13188267495525,13.547936403932445,0.0,13.547936403932445,81.4465
1990-01-01 03:00:00,1.680601271555825,2.803029857505179,3.030661841287217,3.0907390678615805,3.2023249727132357,128.21147870916778,128.26991782276062,128.32925233360862,128.90376370198356,129.1457775074893,295.86524196695655,97.63584673347188,0.0,97.63584673347188,81.4465
1990-01-01 04:00:00,1.5413714346278242,2.372686247204945,2.5290878701250374,2.535379226699907,2.594873733753649,135.37376583093587,135.73147133624045,136.09451201492192,136.3869587697471,136.6586506551532,295.91737902251236,213.0599794314732,21.337329874152868,201.8127758710959,32.103
1990-01-01 05:00:00,1.0907251693282214,1.6345025250303398,1.7343460203676568,1.7710341907069447,1.8183805785772431,129.37839601149645,129.94024591927274,130.51309802433823,130.27646196129425,130.5771715916004,296.61654772182374,378.6029506631895,92.72157064868411,317.3989077887587,32.103
1990-01-01 06:00:00,0.7754991033842661,1.113723351814825,1.1736465636145557,1.2170650577512023,1.2415423008342303,104.39238237660346,105.45223045367669,106.54150277826317,107.41053125129822,107.9462964274287,297.4496615288773,571.8110324766988,275.2168333146745,368.099953677441,32.103
1990-01-01 07:00:00,0.670597170507557,0.9508926347320957,0.9983114080020073,1.0386854572820188,1.051323300979552,79.27192937433448,80.85415407115502,82.46877724811205,84.42430712868769,85.3169732357699,297.3482257775946,605.9885273549629,300.71645241804333,376.8560470115232,32.103
1990-01-01 08:00:00,0.6152811358382032,0.8602621070050999,0.9010673571806254,0.9551877936815844,0.9603683988252357,61.91231489092976,63.709219795576956,65.54768973706393,67.63908284068987,68.55084109799908,298.95441313257356,648.6735458194087,505.56840144913804,282.6858939830753,32.103
1990-01-01 09:00:00,0.6610067230641781,0.9196841608729532,0.9633799383790891,1.005202723096177,1.0058754764887783,48.79122887196946,50.58045971152545,52.41210283683717,53.62998706778327,54.65289099139029,299.2236572076193,576.6986427709347,593.2680780131005,203.7422381256937,32.103
1990-01-01 10:00:00,0.5198807174450591,0.7049637973525945,0.7348353955447687,0.7553199098579335,0.7476512598564861,37.33687935740019,39.71755694813866,42.13984592907823,41.83442617283523,43.37655268799657,298.8508679680822,445.06877180520087,684.043079568978,114.91864160925252,32.103
1990-01-01 11:00:00,0.8078092170562416,1.1625187192259079,1.2235166976352259,1.2682724261605485,1.2611843816579416,36.8159063721335,38.413730269371115,40.04217912248232,39.274585933569085,40.21326242809132,299.01848083279106,303.0524732841758,829.6009440286016,57.61453891920155,32.103
